内蒙古卫视HD,rtp://239.29.0.2:5000
内蒙古经济,rtp://239.29.0.212:5000
内蒙古新闻,rtp://239.29.0.208:5000
内蒙古文体娱乐,rtp://239.29.0.211:5000
内蒙古农牧,rtp://239.29.0.209:5000
内蒙古少儿,rtp://239.29.0.207:5000
内蒙古蒙语,rtp://239.29.0.210:5000
内蒙古呼市都市,rtp://239.29.0.36:5000
内蒙古呼市影视,rtp://239.29.0.37:5000
内蒙古包头经济,rtp://239.29.0.204:5000
内蒙古包头生活,rtp://239.29.0.112:5000
内蒙古包头新闻,rtp://239.29.0.111:5000
内蒙古乌海都市,rtp://239.29.0.12:5000
内蒙古赤峰影视,rtp://239.29.0.15:5000
内蒙古兴安影视,rtp://239.29.0.18:5000
内蒙古巴彦淖尔新闻,rtp://239.29.0.25:5000
内蒙古巴彦淖尔影视,rtp://239.29.0.27:5000
内蒙古巴彦淖尔经济,rtp://239.29.0.27:5000
内蒙古乌拉特前旗,rtp://239.29.0.150:5000
