天津卫视,rtp://225.1.1.111:5002
天津新闻,rtp://225.1.1.130:5002
天津影视,rtp://225.1.1.149:5002
天津都市,rtp://225.1.1.128:5002
天津体育,rtp://225.1.1.122:5002
天津科教,rtp://225.1.1.129:5002
天津少儿,rtp://225.1.1.125:5002
天津IPTV,rtp://225.1.2.123:5002

CCTV1,rtp://225.1.1.120:5002
CCTV2,rtp://225.1.1.133:5002
CCTV3,rtp://225.1.1.158:5002
CCTV4,rtp://225.1.1.150:5002
CCTV5,rtp://225.1.1.160:5002
CCTV-5+体育,rtp://225.1.1.121:5002
CCTV6,rtp://225.1.1.195:5002
CCTV7,rtp://225.1.1.138:5002
CCTV8,rtp://225.1.1.196:5002
CCTV9,rtp://225.1.1.119:5002
CCTV10,rtp://225.1.1.140:5002
CCTV11,rtp://225.1.2.192:5002
CCTV12,rtp://225.1.1.142:5002
CCTV13,rtp://225.1.2.193:5002
CCTV14,rtp://225.1.1.144:5002
CCTV15,rtp://225.1.2.194:5002
CCTV16,rtp://225.1.2.237:5002
CCTV17,rtp://225.1.2.52:5002

CCTV兵器科技,rtp://225.1.2.166:5002
CCTV第一剧场,rtp://225.1.2.175:5002
CCTV电视指南,rtp://225.1.2.167:5002
CCTV风云剧场,rtp://225.1.2.174:5002
CCTV风云音乐,rtp://225.1.2.176:5002
CCTV风云足球,rtp://225.1.2.168:5002
CCTV高尔夫球,rtp://225.1.2.169:5002
CCTV怀旧剧场,rtp://225.1.2.173:5002
CCTV女性时尚,rtp://225.1.2.172:5002
CCTV世界地理,rtp://225.1.2.171:5002
CCTV央视文化精品,rtp://225.1.2.177:5002
CCTV央视台球,rtp://225.1.2.170:5002

4K影视,rtp://225.1.2.190:5002
CHC动作电影,rtp://225.1.1.215:5002
CHC高清电影,rtp://225.1.1.214:5002
CHC家庭影院,rtp://225.1.1.213:5002

