河南卫视,rtp://225.1.4.98:1127
河南法制频道,rtp://225.1.4.54:1083
河南民生频道,rtp://225.1.4.53:1082
河南晴彩中原,rtp://225.1.4.163:1203
河南都市频道高清,rtp://225.1.4.52:1081
河南电视剧频道高清,rtp://225.1.4.55:1084
河南公共频道高清,rtp://225.1.4.58:1087
河南乡村频道高清,rtp://225.1.4.120:1149
河南武术世界,rtp://225.1.4.101:1130
河南移动戏曲,rtp://225.1.4.206:1254
河南移动电视,rtp://225.1.5.40:1350
河南卫视4K,rtp://225.1.4.254:1300

CHC家庭影院,rtp://225.1.4.209:1262
CHC动作电影,rtp://225.1.4.208:1261
CHC高清电影,rtp://225.1.4.207:1260

CCTV1高清,rtp://225.1.4.73:1102
CCTV2高清,rtp://225.1.4.74:1103
CCTV3高清,rtp://225.1.4.158:1194
CCTV4高清,rtp://225.1.5.30:1333
CCTV5高清,rtp://225.1.4.159:1195
CCTV6高清,rtp://225.1.4.160:1196
CCTV7高清,rtp://225.1.4.76:1105
CCTV8高清,rtp://225.1.4.161:1197
CCTV9高清,rtp://225.1.4.77:1106
CCTV10高清,rtp://225.1.4.78:1107
CCTV11高清,rtp://225.1.4.215:1268
CCTV12高清,rtp://225.1.4.79:1108
CCTV13高清,rtp://225.1.4.113:1293
CCTV14高清,rtp://225.1.4.80:1109
CCTV15高清,rtp://225.1.4.216:1269
CCTV16高清,rtp://225.1.5.46:1356
CCTV17高清,rtp://225.1.4.226:2506
CCTV5+高清,rtp://225.1.4.75:1104

湖南卫视HD,rtp://225.1.4.82:1111
江苏卫视HD,rtp://225.1.4.83:1112
浙江卫视HD,rtp://225.1.4.84:1113
北京卫视HD,rtp://225.1.4.81:1110
东方卫视HD,rtp://225.1.4.85:1114
天津卫视HD,rtp://225.1.4.86:1115
山东卫视HD,rtp://225.1.4.88:1117
安徽卫视HD,rtp://225.1.4.87:1116
深圳卫视HD,rtp://225.1.4.90:1119
江西卫视HD,rtp://225.1.4.139:1305
湖北卫视HD,rtp://225.1.4.89:1118
四川卫视HD,rtp://225.1.4.151:1306
黑龙江卫视HD,rtp://225.1.4.91:1120
云南卫视HD,rtp://225.1.4.152:1307
贵州卫视HD,rtp://225.1.4.122:1302
辽宁卫视HD,rtp://225.1.4.167:1208
东南卫视HD,rtp://225.1.4.228:1274
重庆卫视HD,rtp://225.1.4.157:1308
广东卫视HD,rtp://225.1.4.166:1207
河北卫视HD,rtp://225.1.4.123:1304
吉林卫视HD,rtp://225.1.4.174:1309
海南卫视HD,rtp://225.1.4.195:1310

