💚更新时间10-15 06:38,#genre#
NewTv超级电影,http://39.134.134.47/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226994/1.m3u8?zoneoffset=480&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EOKgJ-MarN4M0aStGnXjR0A%7EpK8OKM5JoJWWbLRyLfPcUMkwWZ90MzSI9S9PDltJsYzd0ZGcS3Tkh7syciNKJa-w60mDOdwtDyoNwCx9aRgzHNH9AUREV_qvNJtXHRPzYw0%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3D%3D%3A20221022013542%2C915973%2C119.123.71.209%2C20221022013542%2C10000100000000050000000005002658%2C915973%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C371700698%2CEND&GuardEncType=2
港澳频道,#genre#
BM13动物杂技,http://171.110.63.129:8181/tsfile/live/1198_1.m3u8?key=txiptv&playlive=1&authid=0
动物杂技,http://171.110.63.129:8181/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
环球旅游,http://171.110.63.129:8181/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0

央视频道,#genre#
BM8广东珠江,http://171.110.63.129:8181/tsfile/live/1193_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://171.110.63.129:8181/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://183.15.207.150:808/hls/1/index.m3u8
CCTV1,http://123.53.239.244:808/hls/1/index.m3u8
CCTV1,http://123.11.144.36:22222/hls/1/index.m3u8
CCTV1,http://171.110.63.129:8181/tsfile/live/faacts/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://1.197.249.129:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://183.15.207.150:808/hls/2/index.m3u8
CCTV2,http://123.11.144.36:22222/hls/2/index.m3u8
CCTV2,http://123.53.239.244:808/hls/2/index.m3u8
CCTV2,http://171.110.63.129:8181/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://1.197.249.129:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.110.63.129:8181/tsfile/live/1151_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://183.15.207.150:808/hls/3/index.m3u8
CCTV3,http://123.53.239.244:808/hls/3/index.m3u8
CCTV3,http://123.11.144.36:22222/hls/3/index.m3u8
CCTV3,http://171.110.63.129:8181/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://1.197.249.129:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
BM3CCTV16,http://171.110.63.129:8181/tsfile/live/1188_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://183.15.207.150:808/hls/4/index.m3u8
CCTV4,http://123.11.144.36:22222/hls/4/index.m3u8
CCTV4,http://123.53.239.244:808/hls/4/index.m3u8
CCTV4,http://171.110.63.129:8181/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://1.197.249.129:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.110.63.129:8181/tsfile/live/1152_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://183.15.207.150:808/hls/5/index.m3u8
CCTV5+,http://123.53.239.244:808/hls/18/index.m3u8
CCTV5,http://123.11.144.36:22222/hls/5/index.m3u8
CCTV5,http://123.53.239.244:808/hls/5/index.m3u8
CCTV5+,http://171.110.63.129:8181/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.110.63.129:8181/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://1.197.249.129:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
BM5CCTV8,http://171.110.63.129:8181/tsfile/live/1190_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://183.15.207.150:808/hls/6/index.m3u8
CCTV6,http://123.11.144.36:22222/hls/6/index.m3u8
CCTV6,http://123.53.239.244:808/hls/6/index.m3u8
CCTV6,http://171.110.63.129:8181/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://1.197.249.129:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://183.15.207.150:808/hls/7/index.m3u8
CCTV7,http://123.53.239.244:808/hls/7/index.m3u8
CCTV7,http://123.11.144.36:22222/hls/7/index.m3u8
CCTV7,http://171.110.63.129:8181/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://1.197.249.129:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://171.110.63.129:8181/tsfile/live/1153_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://183.15.207.150:808/hls/8/index.m3u8
CCTV8,http://123.11.144.36:22222/hls/8/index.m3u8
CCTV8,http://123.53.239.244:808/hls/8/index.m3u8
CCTV8,http://171.110.63.129:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://1.197.249.129:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://183.15.207.150:808/hls/9/index.m3u8
CCTV9,http://123.11.144.36:22222/hls/9/index.m3u8
CCTV9,http://123.53.239.244:808/hls/9/index.m3u8
CCTV9,http://171.110.63.129:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://1.197.249.129:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://183.15.207.150:808/hls/10/index.m3u8
CCTV10,http://123.11.144.36:22222/hls/10/index.m3u8
CCTV10,http://123.53.239.244:808/hls/10/index.m3u8
CCTV10,http://171.110.63.129:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://1.197.249.129:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://171.110.63.129:8181/tsfile/live/1154_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://183.15.207.150:808/hls/11/index.m3u8
CCTV11,http://123.11.144.36:22222/hls/11/index.m3u8
CCTV11,http://123.53.239.244:808/hls/11/index.m3u8
CCTV11,http://171.110.63.129:8181/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://1.197.249.129:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://171.110.63.129:8181/tsfile/live/1155_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://183.15.207.150:808/hls/12/index.m3u8
CCTV12,http://123.11.144.36:22222/hls/12/index.m3u8
CCTV12,http://123.53.239.244:808/hls/12/index.m3u8
