CHC动作电影,rtp://239.253.254.153:8000
CHC高清电影,rtp://239.253.254.154:8000
CHC家庭影院,rtp://239.253.254.152:8000
山东精彩影视,rtp://239.253.254.142:8000
山东综艺,rtp://239.253.254.159:8000
山东综合,rtp://239.253.254.245:8000
山东海洋,rtp://239.253.254.67:8000
山东莱西,rtp://239.253.254.247:8000
山东崂山,rtp://239.253.254.242:8000
山东梨园,rtp://239.253.254.139:8000
山东平度,rtp://239.253.254.248:8000
山东青岛1,rtp://239.253.254.249:8000
山东青岛2,rtp://239.253.254.249:8000
山东青岛3,rtp://239.253.254.251:8000
山东青岛4,rtp://239.253.254.252:8000
山东青岛5,rtp://239.253.254.253:8000
山东青岛生活,rtp://239.253.254.244:8000
山东青岛综合,rtp://239.253.254.243:8000
